canary_id,record_id,customer_name,date_of_birth,account_number
CANARY-001,REC-000031,Camila Johnson,1960-09-01,331000000030
CANARY-002,REC-000134,Grace B. Thompson,1975-07-03,271000000133
CANARY-003,REC-000413,Noah Mitchell,1995-05-20,391000000412
CANARY-004,REC-000568,Samuel J. Adams,1949-05-05,781000000567
CANARY-005,REC-000631,Harper D. Castillo,1957-07-06,151000000630
CANARY-006,REC-000674,Mila D. Taylor,1960-11-02,691000000673
CANARY-007,REC-000810,Owen Kim,1965-11-02,301000000809
CANARY-008,REC-000949,Caleb X. Diaz,1991-03-05,851000000948
CANARY-009,REC-000965,Elijah F. Gonzalez,1971-09-09,691000000964
CANARY-010,REC-001109,Jayden Parker,1951-10-05,221000001108
CANARY-011,REC-001121,Charlotte Brooks,1963-03-25,101000001120
CANARY-012,REC-001281,Mia S. Patel,1980-07-12,441000001280
CANARY-013,REC-001366,Layla G. Lewis,1959-10-06,561000001365
CANARY-014,REC-001423,Mila T. Williams Sr.,1946-01-03,961000001422
CANARY-015,REC-001473,Riley Smith,1978-12-07,461000001472
CANARY-016,REC-001744,Riley L. Castillo,1996-11-30,661000001743
CANARY-017,REC-001778,Aaliyah U. Hall,2003-11-23,321000001777
CANARY-018,REC-001918,Riley Scott,1962-05-24,861000001917
CANARY-019,REC-002013,Liam G. Taylor,1971-04-28,881000002012
CANARY-020,REC-002161,Noah Hernandez,1946-06-14,371000002160
CANARY-021,REC-002267,Lucas Baker,1998-12-23,281000002266
CANARY-022,REC-002338,Sophia Sanchez,1968-05-07,541000002337
CANARY-023,REC-002381,Henry Gonzalez,1966-03-07,111000002380
CANARY-024,REC-002606,Riley Brooks,1952-06-22,771000002605
CANARY-025,REC-002764,Naomi Green,1991-11-22,161000002763
CANARY-026,REC-002811,Joseph M. Castillo,1981-12-06,661000002810
CANARY-027,REC-002813,Isabella Coleman,1982-10-06,641000002812
CANARY-028,REC-002994,Joshua Allen,1981-09-11,771000002993
CANARY-029,REC-003064,Sebastian H. Martinez,1965-07-16,071000003063
CANARY-030,REC-003097,Grace K. Kim,1947-06-23,711000003096
CANARY-031,REC-003254,Liam D. Lewis,1978-02-26,111000003253
CANARY-032,REC-003457,Naomi Roberts,1974-11-09,021000003456
CANARY-033,REC-003549,Mia I. Nguyen,1992-09-08,071000003548
CANARY-034,REC-003607,Camila Rivera,1984-05-25,461000003606
CANARY-035,REC-003806,Mia Evans,2000-06-17,411000003805
CANARY-036,REC-003856,Caleb V. Sanchez,1991-03-02,881000003855
CANARY-037,REC-003866,Sofia Sanchez,1980-07-28,781000003865
CANARY-038,REC-003922,Riley L. Davis,1976-02-24,221000003921
CANARY-039,REC-003960,Harper Ramirez,1984-12-09,811000003959
CANARY-040,REC-004102,Jayden Rivera,1998-06-13,361000004101
CANARY-041,REC-004518,Layla X. Martinez,1993-03-13,081000004517
CANARY-042,REC-004750,Wyatt E. Perez,1985-05-18,671000004749
CANARY-043,REC-004934,Harper V. Adams,1984-06-20,771000004933
CANARY-044,REC-005147,Ella Y. Carter,1975-03-23,581000005146
CANARY-045,REC-005307,Brianna Thompson,1966-07-17,921000005306
CANARY-046,REC-005354,Camila K. Gonzalez,1967-10-14,451000005353
CANARY-047,REC-005384,Alex U. Smith,1963-12-04,151000005383
CANARY-048,REC-005517,Aaliyah L. Green,1972-01-13,761000005516
CANARY-049,REC-005602,Liam J. Hernandez,1969-11-19,881000005601
CANARY-050,REC-005708,Noah Castillo,1992-05-12,791000005707
CANARY-051,REC-005763,Ella B. Lewis,1980-07-24,241000005762
CANARY-052,REC-005854,Layla Campbell,1957-11-26,301000005853
CANARY-053,REC-005908,Layla X. Hall,1968-06-26,731000005907
CANARY-054,REC-005948,Alyssa Nguyen,1947-02-01,331000005947
CANARY-055,REC-006144,Scarlett Kim,1974-04-14,311000006143
CANARY-056,REC-006215,Jasmine Z. Thompson,1953-04-02,571000006214
CANARY-057,REC-006216,Caleb Ramirez Jr.,2003-04-04,561000006215
CANARY-058,REC-006233,Sebastian F. Harris,1952-12-27,391000006232
CANARY-059,REC-006461,Alex E. Adams,1988-05-22,051000006460
CANARY-060,REC-006481,Mia Scott,1952-03-21,821000006480
CANARY-061,REC-006595,Camila P. Harris,1978-04-23,651000006594
CANARY-062,REC-006822,Lucas Rivera,1981-08-25,321000006821
